IDX_YMD,IDX_AMT
2017-02-23,856
2017-02-24,875
2017-02-27,878
2017-02-28,859
2017-03-01,871
2017-03-02,904
2017-03-03,939
2017-03-06,979
2017-03-07,1033
2017-03-08,1045
2017-03-09,1064
2017-03-10,1086
2017-03-13,1099
2017-03-14,1112
2017-03-15,1147
2017-03-16,1172
2017-03-17,1196
2017-03-20,1205
2017-03-21,1200
2017-03-22,1190
2017-03-23,1196
2017-03-24,1240
2017-03-27,1282
2017-03-28,1333
2017-03-29,1338
2017-03-30,1324
2017-03-31,1297
2017-04-03,1282
2017-04-04,1255
2017-04-05,1223
2017-04-06,1215
2017-04-07,1223
2017-04-10,1231
2017-04-11,1262
2017-04-12,1282
2017-04-13,1296
2017-04-18,1294
2017-04-19,1278
2017-04-20,1243
2017-04-21,1195
2017-04-24,1170
2017-04-25,1154
2017-04-26,1147
2017-04-27,1134
2017-04-28,1109
2017-05-02,1073
2017-05-03,1034
2017-05-04,1004
2017-05-05,994
2017-05-08,1001
2017-05-09,1007
2017-05-10,1005
2017-05-11,1012
2017-05-12,1014
2017-05-15,994
2017-05-16,980
2017-05-17,960
2017-05-18,957
2017-05-19,956
2017-05-22,954
2017-05-23,949
2017-05-24,934
2017-05-25,918
2017-05-26,912
2017-05-30,900
2017-05-31,878
2017-06-01,850
2017-06-02,830
2017-06-05,821
2017-06-06,818
2017-06-07,821
2017-06-08,824
2017-06-09,849
2017-06-12,870
2017-06-13,870
2017-06-14,865
2017-06-15,855
2017-06-16,851
2017-06-19,848
2017-06-20,847
2017-06-21,844
2017-06-22,855
2017-06-23,870
2017-06-26,884
2017-06-27,903
2017-06-28,929
2017-06-29,920
2017-06-30,901
2017-07-03,882
2017-07-04,871
2017-07-05,847
2017-07-06,829
2017-07-07,822
2017-07-10,820
2017-07-11,830
2017-07-12,859
2017-07-13,888
2017-07-14,900
2017-07-17,912
2017-07-18,932
2017-07-19,948
2017-07-20,964
2017-07-21,977
2017-07-24,977
2017-07-25,980
2017-07-26,968
2017-07-27,942
2017-07-28,933
2017-07-31,946
2017-08-01,965
2017-08-02,993
2017-08-03,1023
2017-08-04,1032
2017-08-07,1036
2017-08-08,1038
2017-08-09,1050
2017-08-10,1092
2017-08-11,1138
2017-08-14,1155
2017-08-15,1169
2017-08-16,1207
2017-08-17,1247
2017-08-18,1260
2017-08-21,1266
2017-08-22,1249
2017-08-23,1222
2017-08-24,1200
2017-08-25,1209
2017-08-29,1203
2017-08-30,1181
2017-08-31,1184
2017-09-01,1183
2017-09-04,1187
2017-09-05,1215
2017-09-06,1250
2017-09-07,1296
2017-09-08,1332
2017-09-11,1355
2017-09-12,1344
2017-09-13,1337
2017-09-14,1361
2017-09-15,1385
2017-09-18,1398
2017-09-19,1415
2017-09-20,1449
2017-09-21,1470
2017-09-22,1502
2017-09-25,1503
2017-09-26,1476
2017-09-27,1429
2017-09-28,1391
2017-09-29,1356
2017-10-02,1328
2017-10-03,1308
2017-10-04,1320
2017-10-05,1382
2017-10-06,1405
2017-10-09,1411
2017-10-10,1418
2017-10-11,1433
2017-10-12,1458
2017-10-13,1485
2017-10-16,1523
2017-10-17,1552
2017-10-18,1566
2017-10-19,1582
2017-10-20,1578
2017-10-23,1586
2017-10-24,1588
2017-10-25,1573
2017-10-26,1555
2017-10-27,1546
2017-10-30,1534
2017-10-31,1522
2017-11-01,1496
2017-11-02,1482
2017-11-03,1476
2017-11-06,1473
2017-11-07,1477
2017-11-08,1486
2017-11-09,1481
2017-11-10,1464
2017-11-13,1445
2017-11-14,1405
2017-11-15,1374
2017-11-16,1361
2017-11-17,1371
2017-11-20,1385
2017-11-21,1396
2017-11-22,1413
2017-11-23,1445
2017-11-24,1458
2017-11-27,1477
2017-11-28,1506
2017-11-29,1536
2017-11-30,1578
2017-12-01,1626
2017-12-04,1662
2017-12-05,1666
2017-12-06,1670
2017-12-07,1679
2017-12-08,1702
2017-12-11,1727
2017-12-12,1743
2017-12-13,1730
2017-12-14,1668
2017-12-15,1619
2017-12-18,1588
2017-12-19,1547
2017-12-20,1476
2017-12-21,1430
2017-12-22,1366
2018-01-02,1230
2018-01-03,1262
2018-01-04,1341
2018-01-05,1371
2018-01-08,1385
2018-01-09,1395
2018-01-10,1366
2018-01-11,1303
2018-01-12,1279
2018-01-15,1264
2018-01-16,1221
2018-01-17,1164
2018-01-18,1139
2018-01-19,1125
2018-01-22,1129
2018-01-23,1157
2018-01-24,1200
2018-01-25,1217
2018-01-26,1219
2018-01-29,1214
2018-01-30,1191
2018-01-31,1152
2018-02-01,1114
2018-02-02,1095
2018-02-05,1082
2018-02-06,1095
2018-02-07,1097
2018-02-08,1106
2018-02-09,1125
2018-02-12,1123
2018-02-13,1114
2018-02-14,1095
2018-02-15,1089
2018-02-16,1084
2018-02-19,1087
2018-02-20,1117
2018-02-21,1146
2018-02-22,1167
2018-02-23,1185
2018-02-26,1191
2018-02-27,1188
2018-02-28,1192
2018-03-01,1196
2018-03-02,1207
2018-03-05,1210
2018-03-06,1212
2018-03-07,1191
2018-03-08,1197
2018-03-09,1201
2018-03-12,1192
2018-03-13,1179
2018-03-14,1169
2018-03-15,1150
2018-03-16,1143
2018-03-19,1136
2018-03-20,1122
2018-03-21,1117
2018-03-22,1117
2018-03-23,1122
2018-03-26,1126
2018-03-27,1117
2018-03-28,1080
2018-03-29,1055
2018-04-03,1016
2018-04-04,977
2018-04-05,953
2018-04-06,948
2018-04-09,952
2018-04-10,974
2018-04-11,979
2018-04-12,993
2018-04-13,1014
2018-04-16,1025
2018-04-17,1052
2018-04-18,1124
2018-04-19,1201
2018-04-20,1281
